"game_id","season","game_type","week","gameday","weekday","gametime","away_team","away_score","home_team","home_score","location","result","total","overtime","old_game_id","gsis","nfl_detail_id","pfr","pff","espn","ftn","away_rest","home_rest","away_moneyline","home_moneyline","spread_line","away_spread_odds","home_spread_odds","total_line","under_odds","over_odds","div_game","roof","surface","temp","wind","away_qb_id","home_qb_id","away_qb_name","home_qb_name","away_coach","home_coach","referee","stadium_id","stadium"
"2024_01_BAL_KC",2024,"REG",1,"2024-09-05","Thursday","20:20","BAL",20,"KC",27,"Home",7,47,0,"2024090500",59508,NA,"202409050kan",NA,"401671789",6449,7,7,124,-148,3,-118,-102,46,-110,-110,0,"outdoors","grass",67,8,"00-0034796","00-0033873","Lamar Jackson","Patrick Mahomes","John Harbaugh","Andy Reid","Shawn Hochuli","KAN00","GEHA Field at Arrowhead Stadium"
"2024_02_CIN_KC",2024,"REG",2,"2024-09-15","Sunday","16:25","CIN",25,"KC",26,"Home",1,51,0,"2024091512",59537,NA,"202409150kan",NA,"401671670",6478,7,10,235,-290,6.5,-105,-115,47.5,-108,-112,0,"outdoors","grass",89,8,"00-0036442","00-0033873","Joe Burrow","Patrick Mahomes","Zac Taylor","Andy Reid","Alex Kemp","KAN00","GEHA Field at Arrowhead Stadium"
"2024_03_KC_ATL",2024,"REG",3,"2024-09-22","Sunday","20:20","KC",22,"ATL",17,"Home",-5,39,0,"2024092212",59553,NA,"202409220atl",NA,"401671793",6494,7,6,-170,142,-3,-118,-102,46,-108,-112,0,"closed","fieldturf",NA,NA,"00-0033873","00-0029604","Patrick Mahomes","Kirk Cousins","Andy Reid","Raheem Morris","Tra Blake","ATL97","Mercedes-Benz Stadium"
"2024_04_KC_LAC",2024,"REG",4,"2024-09-29","Sunday","16:25","KC",17,"LAC",10,"Home",-7,27,0,"2024092910",59567,NA,"202409290sdg",NA,"401671674",6508,7,7,-345,275,-7.5,-108,-112,41.5,-108,-112,1,"dome","matrixturf",NA,NA,"00-0033873","00-0036355","Patrick Mahomes","Justin Herbert","Andy Reid","Jim Harbaugh","Shawn Smith","LAX01","SoFi Stadium"
"2024_05_NO_KC",2024,"REG",5,"2024-10-07","Monday","20:15","NO",13,"KC",26,"Home",13,39,0,"2024100700",59585,NA,"202410070kan",NA,"401671687",6526,8,8,190,-230,5.5,-112,-108,43,-110,-110,0,"outdoors","grass",70,1,"00-0031280","00-0033873","Derek Carr","Patrick Mahomes","Dennis Allen","Andy Reid","Brad Rogers","KAN00","GEHA Field at Arrowhead Stadium"
"2024_07_KC_SF",2024,"REG",7,"2024-10-20","Sunday","16:25","KC",28,"SF",18,"Home",-10,46,0,"2024102010",59611,NA,"202410200sfo",NA,"401671777",6552,13,10,120,-142,2.5,-105,-115,47.5,-110,-110,0,"outdoors","grass",78,3,"00-0033873","00-0037834","Patrick Mahomes","Brock Purdy","Andy Reid","Kyle Shanahan","Alan Eck","SFO01","Levi's Stadium"
"2024_08_KC_LV",2024,"REG",8,"2024-10-27","Sunday","16:25","KC",27,"LV",20,"Home",-7,47,0,"2024102712",59628,NA,"202410270rai",NA,"401671671",6569,7,7,-440,340,-9,-112,-108,42,-108,-112,1,"dome","grass",NA,NA,"00-0033873","00-0038579","Patrick Mahomes","Aidan O'Connell","Andy Reid","Antonio Pierce","Adrian Hill","VEG00","Allegiant Stadium"
"2024_09_TB_KC",2024,"REG",9,"2024-11-04","Monday","20:15","TB",24,"KC",30,"Home",6,54,1,"2024110400",59645,NA,"202411040kan",NA,"401671688",6586,8,8,330,-425,9,-110,-110,45.5,-108,-112,0,"outdoors","grass",63,6,"00-0034855","00-0033873","Baker Mayfield","Patrick Mahomes","Todd Bowles","Andy Reid","John Hussey","KAN00","GEHA Field at Arrowhead Stadium"
"2024_10_DEN_KC",2024,"REG",10,"2024-11-10","Sunday","13:00","DEN",14,"KC",16,"Home",2,30,0,"2024111004",59651,NA,"202411100kan",NA,"401671637",6592,7,6,300,-380,7.5,-115,-105,42.5,-110,-110,1,"outdoors","grass",57,12,"00-0039732","00-0033873","Bo Nix","Patrick Mahomes","Sean Payton","Andy Reid","Brad Allen","KAN00","GEHA Field at Arrowhead Stadium"
"2024_11_KC_BUF",2024,"REG",11,"2024-11-17","Sunday","16:25","KC",21,"BUF",30,"Home",9,51,0,"2024111709",59670,NA,"202411170buf",NA,"401671665",6611,7,7,120,-142,2.5,-108,-112,46.5,-108,-112,0,"outdoors","a_turf",50,3,"00-0033873","00-0034857","Patrick Mahomes","Josh Allen","Andy Reid","Sean McDermott","Land Clark","BUF00","New Era Field"
